City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,cidreira,-30.1811,-50.2056,24.53000000000003,82,0,9.38,BR,1674874984
66,arraial do cabo,-22.9661,-42.0278,24.560000000000002,88,98,4.46,BR,1674874984
67,kodiak,57.79,-152.4072,2.730000000000018,93,40,2.57,US,1674874985
68,oranjestad,12.524,-70.027,25.53000000000003,78,9,9.29,AW,1674874838
69,garmsar,35.2182,52.3409,1.5900000000000318,57,3,1.99,IR,1674874986
70,alta,69.9689,23.2717,2.330000000000041,82,75,12.96,NO,1674874986
71,tuktoyaktuk,69.4541,-133.0374,-31.079999999999984,100,75,2.97,CA,1674874987
72,tiebissou,7.1574,-5.2257,22.80000000000001,82,90,2.13,CI,1674874987
73,upernavik,72.7868,-56.1549,-23.869999999999976,82,99,3.35,GL,1674874988
74,talnakh,69.4865,88.3972,-17.879999999999967,95,100,4.02,RU,1674874988
75,kavaratti,10.5669,72.642,26.450000000000045,72,2,3.07,IN,1674874989
76,namatanai,-3.6667,152.4333,29.730000000000018,67,92,2.42,PG,1674874990
77,nanortalik,60.1432,-45.2371,0.12000000000000455,92,100,9.43,GL,1674874990
78,visnes,59.3556,5.2242,6.230000000000018,93,75,7.2,NO,1674874991
79,bathsheba,13.2167,-59.5167,22.340000000000032,83,20,2.57,BB,1674874991
80,pimentel,-6.8367,-79.9342,23.160000000000025,73,75,5.66,PE,1674874992
81,hamilton,39.1834,-84.5333,7.740000000000009,60,75,6.17,US,1674874972
82,ribeira grande,38.5167,-28.7,13.210000000000036,82,17,6.26,PT,1674874993
83,alveringem,50.9793,2.6775,3.410000000000025,67,100,1.03,BE,1674874994
84,saldanha,-33.0117,17.9442,17.879999999999995,92,0,4.12,ZA,1674874995
85,los llanos de aridane,28.6585,-17.9182,13.860000000000014,80,75,6.69,ES,1674874996
86,cayenne,4.9333,-52.3333,23.02000000000004,94,100,1.03,GF,1674874996
87,vaini,-21.2,-175.2,29.090000000000032,79,75,2.57,TO,1674874997
88,kenai,60.5544,-151.2583,-1.0600000000000023,86,100,2.57,US,1674874997
89,port elizabeth,-33.918,25.5701,22.83000000000004,94,71,4.92,ZA,1674874817
90,tromso,69.6496,18.957,3.0100000000000477,75,100,6.17,NO,1674874873
91,vaitape,-16.5167,-151.75,27.25,73,4,5.6,PF,1674874998
92,stephenville,32.2207,-98.2023,9.960000000000036,55,0,4.63,US,1674874811
93,victoria,22.2855,114.1577,14.03000000000003,26,45,7.6,HK,1674874803
94,bethel,41.3712,-73.414,1.170000000000016,86,82,2.13,US,1674874920
95,cockburn town,21.4612,-71.1419,24.930000000000007,68,34,9.15,TC,1674875000
96,vila velha,-20.3297,-40.2925,24.970000000000027,94,75,3.58,BR,1674874703
97,geraldton,-28.7667,114.6,27.230000000000018,47,0,5.14,AU,1674875001
98,east london,-33.0153,27.9116,22.660000000000025,89,35,5.41,ZA,1674875001
99,jumla,29.2747,82.1838,6.240000000000009,19,0,1.84,NP,1674875002
100,gizo,-8.103,156.8419,28.410000000000025,73,62,0.96,SB,1674875002
101,norman wells,65.282,-126.8329,-23.96999999999997,99,87,3.62,CA,1674875003
102,sitka,57.0531,-135.33,3.2600000000000477,90,54,1.68,US,1674874859
103,hobart,-42.8794,147.3294,28.920000000000016,37,0,5.66,AU,1674874972
104,grand gaube,-20.0064,57.6608,25.77000000000004,90,100,0.45,MU,1674875004
105,coquimbo,-29.9533,-71.3436,18.840000000000032,74,0,1.83,CL,1674874870
106,pisco,-13.7,-76.2167,21.03000000000003,88,0,4.12,PE,1674875005
